datawrapper,Unnamed: 0,Название региона,Номер региона (ОКАТО),Название показателя,Номер показателя (ID),Ед. измерения,Источник,Описание,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Рейтинг 7х7_2015,Рейтинг 7х7_2017,Рейтинг 7х7_2019,Рейтинг 7х7_2021,Рейтинг 7х7_2023,Рейтинг 7х7_2025,Рейтинг 7х7_2015_оценка,Рейтинг 7х7_2017_оценка,Рейтинг 7х7_2019_оценка,Рейтинг 7х7_2021_оценка,Рейтинг 7х7_2023_оценка,Рейтинг 7х7_2025_оценка
Республика Северная Осетия — Алания,231,Республика Северная Осетия — Алания,90000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.021392832268108817,,0.0290945610488768,,0.014003908874953251,,0.029008604711636344,,0.049449397438135284,,,,0.41678415097122756,0.41252188410791263,0.5200519807636754,0.5791675992191008,0.560505287777679,0.6269376156662708,Удовлетворительно,Неуд,Удовлетворительно,Удовлетворительно,Удовлетворительно,Хорошо
Иркутская область,58,Иркутская область,25000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,23.0,0.7142857142857143,31.0,0.4444444444444444,54.0,0.3529411764705882,37.0,0.5714285714285714,34.0,0.6,,0.36620671556940443,0.42662451546902286,0.43066451130192634,0.4825396988470794,0.4005008219078178,0.4506407106464375,Неуд,Неуд,Удовлетворительно,Неуд,Кол,Удовлетворительно
Республика Татарстан,232,Республика Татарстан,92000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.07963065388397247,,0.08157999172091089,,0.03260961366486482,,0.08926335854729743,,0.0987581593906332,,,,0.443712283061946,0.5023008547005597,0.5223514745231732,0.5625559874808096,0.5226743098926163,0.33622300291845914,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Неуд
Республика Тыва,238,Республика Тыва,93000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.0,,0.0,,0.037834455982134405,,0.11973208654229187,,0.12910022572866803,,,,0.1529809435212276,0.21538114966425845,0.14299841565847704,0.2782674755985957,0.300853020493051,0.15000000000000002,Кол,Кол,Кол,Кол,Кол,Кол
Иркутская область,59,Иркутская область,25000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.22265625,,0.1448598130841121,,0.16628701594533024,,0.28487584650112874,,0.2319433088034888,,,,0.36620671556940443,0.42662451546902286,0.43066451130192634,0.4825396988470794,0.4005008219078178,0.4506407106464375,Неуд,Неуд,Удовлетворительно,Неуд,Кол,Удовлетворительно
Республика Хакасия,240,Республика Хакасия,95000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.06103680999399104,,0.03680017237312675,,0.0256668307621875,,0.0791455874431139,,0.09010435992106026,,,,0.3026528249434334,0.3985824641643451,0.416552637289097,0.4553795330957599,0.4463402827609695,0.33436370715449504,Неуд,Неуд,Неуд,Неуд,Неуд,Неуд
Ростовская область,245,Ростовская область,60000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.06493132374631268,,0.08006583329373751,,0.03106402541953622,,0.07770684202266992,,0.10163206390324638,,,,0.3627005827798668,0.42918018377279543,0.4948975544116474,0.5411376184808567,0.5468050369412415,0.47782969392895897,Неуд,Неуд,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно
Рязанская область,248,Рязанская область,61000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.06470650601481169,,0.07153112213171031,,0.029295587165038033,,0.08476720621682902,,0.10025155902033675,,,,0.4095854966933572,0.42478938103805064,0.5254575689487478,0.5703293761565997,0.5713995876256879,0.7618806085157305,Удовлетворительно,Неуд,Удовлетворительно,Удовлетворительно,Удовлетворительно,Отлично
Кабардино-Балкарская республика,62,Кабардино-Балкарская республика,83000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,26.0,0.2857142857142857,32.0,0.40740740740740744,48.0,0.5294117647058824,41.0,0.38095238095238093,43.0,0.30000000000000004,,0.38516523435400235,0.4220150391937994,0.5238565095309543,0.5544957805632603,0.5745802242439505,0.5356286332042779,Неуд,Неуд,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно
Кабардино-Балкарская республика,63,Кабардино-Балкарская республика,83000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.642578125,,0.7406542056074766,,0.6742596810933941,,0.8534988713318284,,0.9206868356500408,,,,0.38516523435400235,0.4220150391937994,0.5238565095309543,0.5544957805632603,0.5745802242439505,0.5356286332042779,Неуд,Неуд,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно
Самарская область,254,Самарская область,36000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.09000101571888998,,0.09695304359127294,,0.03617011462991911,,0.09528404595600809,,0.11137636944011503,,,,0.40922358565487515,0.4138149157378332,0.5069125523229245,0.5593368649956805,0.5133188404867626,0.44224643533589547,Удовлетворительно,Неуд,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно
Калининградская область,64,Калининградская область,27000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,22.0,0.8571428571428572,28.0,0.5555555555555556,43.0,0.6764705882352942,38.0,0.5238095238095238,34.0,0.6,,0.4263598467349618,0.47047118169053354,0.49405921519476564,0.591186153122485,0.5371291772684508,0.5690961216071724,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Хорошо
Санкт-Петербург,258,Санкт-Петербург,40000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.23256853237033917,,0.1252021982459519,,0.09461502129970234,,0.2524451600681828,,0.34254212952134916,,,,0.6102384081559219,0.6099873725772877,0.607365958943991,0.7022110126075624,0.694345562509666,0.5474406997742898,Хорошо,Хорошо,Хорошо,Хорошо,Хорошо,Хорошо
Калининградская область,65,Калининградская область,27000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.498046875,,0.3130841121495327,,0.27334851936218674,,0.5074492099322798,,0.3791223766693923,,,,0.4263598467349618,0.47047118169053354,0.49405921519476564,0.591186153122485,0.5371291772684508,0.5690961216071724,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Хорошо
