,Название региона,Номер региона (ОКАТО),Название показателя,Номер показателя (ID),Ед. измерения,Источник,Описание,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
206,Республика Карелия,86000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,24597.0,,28954.0,,36887.0,,42505.0,,53174.0,,,
207,Республика Карелия,86000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,25.0,25.0,26.0,26.0,52.0,52.0,47.0,47.0,41.0,41.0,
208,Республика Коми,87000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,26.0,26.0,37.0,37.0,53.0,53.0,39.0,39.0,32.0,32.0,
209,Республика Коми,87000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,50021.0,,56248.0,,66246.0,,72298.0,,90932.0,,,
210,Республика Коми,87000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,36.4,,38.0,,34.8,,33.65,,32.56,,,
211,Республика Коми,87000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,31803.0,,34850.0,,43174.0,,47972.0,,61327.0,,,
212,Республика Крым,35000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,1.2,,15.9,,17.7,,19.03,,22.99,,,
213,Республика Крым,35000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,26.0,26.0,24.0,24.0,32.0,32.0,33.0,33.0,29.0,29.0,
214,Республика Крым,35000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,22768.0,,28701.0,,36696.0,,41950.0,,52732.0,,,
215,Республика Крым,35000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,22491.0,,24138.0,,30208.0,,33968.0,,40609.0,,,
216,Республика Марий Эл,88000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,27.0,27.0,33.0,33.0,46.0,46.0,38.0,38.0,32.0,32.0,
217,Республика Марий Эл,88000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,28.8,,26.4,,26.8,,27.62,,28.92,,,
218,Республика Марий Эл,88000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,32532.0,,30179.0,,35523.0,,42707.0,,68239.0,,,
219,Республика Марий Эл,88000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,23157.0,,22204.0,,25999.0,,30912.0,,48501.0,,,
220,Республика Мордовия,89000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,18188.0,,22367.0,,25642.0,,30809.0,,40260.0,,,
221,Республика Мордовия,89000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,22.0,22.0,29.0,29.0,45.0,45.0,38.0,38.0,28.0,28.0,
222,Республика Мордовия,89000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,24862.0,,30410.0,,33592.0,,41654.0,,57273.0,,,
223,Республика Мордовия,89000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,26.8,,26.4,,23.7,,26.04,,29.71,,,
224,Республика Саха (Якутия),98000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,43364.0,,49618.0,,60803.0,,67168.0,,86648.0,,,
225,Республика Саха (Якутия),98000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,34.6,,33.4,,26.1,,31.68,,33.68,,,
226,Республика Саха (Якутия),98000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,28.0,28.0,34.0,34.0,59.0,59.0,46.0,46.0,35.0,35.0,
227,Республика Саха (Якутия),98000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,66309.0,,74545.0,,82270.0,,98316.0,,130643.0,,,
228,Республика Северная Осетия — Алания,90000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,20328.0,,23540.0,,28537.0,,31392.0,,40309.0,,,
229,Республика Северная Осетия — Алания,90000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,16524.0,,18047.0,,22711.0,,25696.0,,32714.0,,,
230,Республика Северная Осетия — Алания,90000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,25.0,25.0,33.0,33.0,43.0,43.0,37.0,37.0,32.0,32.0,
231,Республика Северная Осетия — Алания,90000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,18.7,,23.3,,20.4,,18.14,,18.84,,,
232,Республика Татарстан,92000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,33.9,,33.6,,30.7,,33.47,,35.76,,,
233,Республика Татарстан,92000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,36337.0,,42771.0,,49193.0,,58983.0,,87028.0,,,
234,Республика Татарстан,92000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,24015.0,,28393.0,,34082.0,,39240.0,,55911.0,,,
235,Республика Татарстан,92000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,23.0,23.0,33.0,33.0,54.0,54.0,46.0,46.0,46.0,46.0,
236,Республика Тыва,93000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,23.0,23.0,35.0,35.0,66.0,66.0,39.0,39.0,43.0,43.0,
237,Республика Тыва,93000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,44677.0,,49681.0,,40095.0,,46473.0,,58453.0,,,
238,Республика Тыва,93000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,48.1,,44.9,,21.9,,13.87,,20.11,,,
239,Республика Тыва,93000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,23200.0,,27353.0,,31299.0,,40029.0,,46700.0,,,
240,Республика Хакасия,95000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,39.0,,40.5,,33.2,,34.84,,34.77,,,
241,Республика Хакасия,95000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,22.0,22.0,34.0,34.0,62.0,62.0,45.0,45.0,43.0,43.0,
242,Республика Хакасия,95000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,39944.0,,46518.0,,49282.0,,57787.0,,77189.0,,,
243,Республика Хакасия,95000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,24372.0,,27665.0,,32928.0,,37652.0,,50352.0,,,
244,Ростовская область,60000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,24.0,24.0,29.0,29.0,44.0,44.0,36.0,36.0,42.0,42.0,
245,Ростовская область,60000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,32.0,,29.6,,27.7,,31.48,,31.15,,,
246,Ростовская область,60000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,31171.0,,36266.0,,42692.0,,51646.0,,69735.0,,,
247,Ростовская область,60000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,21190.0,,25545.0,,30854.0,,35387.0,,48014.0,,,
248,Рязанская область,61000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,33.6,,31.9,,28.8,,29.0,,30.16,,,
249,Рязанская область,61000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,21632.0,,25283.0,,30679.0,,36030.0,,46550.0,,,
250,Рязанская область,61000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,25.0,25.0,27.0,27.0,45.0,45.0,38.0,38.0,29.0,29.0,
251,Рязанская область,61000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,32580.0,,37148.0,,43095.0,,50743.0,,66649.0,,,
252,Самарская область,36000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,24154.0,,28128.0,,33642.0,,37761.0,,51047.0,,,
253,Самарская область,36000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,34812.0,,40017.0,,46854.0,,52201.0,,74459.0,,,
254,Самарская область,36000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,30.6,,29.7,,28.2,,27.66,,31.44,,,
255,Самарская область,36000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,26.0,26.0,31.0,31.0,49.0,49.0,41.0,41.0,40.0,40.0,
256,Санкт-Петербург,40000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,23.0,23.0,28.0,28.0,46.0,46.0,38.0,38.0,35.0,35.0,
257,Санкт-Петербург,40000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,41203.0,,55353.0,,59762.0,,69771.0,,95583.0,,,
258,Санкт-Петербург,40000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,29.1,,39.2,,27.2,,27.96,,26.16,,,
259,Санкт-Петербург,40000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,58095.0,,91060.0,,82052.0,,96855.0,,129443.0,,,
260,Саратовская область,63000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,27387.0,,31643.0,,38223.0,,44967.0,,61838.0,,,
261,Саратовская область,63000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,24.0,24.0,28.0,28.0,46.0,46.0,39.0,39.0,34.0,34.0,
